"schoolname","State","District","No.students","percAmericanIndian","percAsian","percHawaiian","percBlack","percHispanic","percWhite","More","Lep","percIdea","perc504","Zip","Montessori","SCHID","ps","kinder","first","second","third","fourth","fifth","sixth","seventh","eighth","nineth","tenth","eleventh","twelfth","magnet","charter","SCHOOL_NAME","title","FRLperc","distance","weights","subclass","Lea.State","ID","Year","Category","Sex","no.AmericanIndianAbs","no.AsianAbs","no.HawaiianPIAbs","no.HispanicAbs","no.BlackAbs","no.WhiteAbs","no.Two.or.more.racesAbs","TotalAbs","no.IdeaAbs","no.504Abs","no.LEPAbs"
"academy360","CO","schooldistrictno.1inthecountyofdenverandstateofc",226,0.4,0.4,0,31,53.5,10.6,4,28.8,7.1,0.4,80239,0,6592,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,"ACADEMY 360",1,67,0.122134643203239,1,30,"CO",80336006592,2017,"Students absent 15 or more school dates during school year","M","0.00","1.00","-","24","18","3","2",48,"5","-","7"
"academy360","CO","schooldistrictno.1inthecountyofdenverandstateofc",226,0.4,0.4,0,31,53.5,10.6,4,28.8,7.1,0.4,80239,0,6592,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,"ACADEMY 360",1,67,0.122134643203239,1,30,"CO",80336006592,2017,"Students absent 15 or more school dates during school year","F","-","-","-","31","14","2","1",48,"3","-","18"
"achievelanguageacademy","MN","achievelanguageacademy",455,0.7,33,1,13,40,10.3,3.1,50.1,10.5,0,55119,0,2608,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"ACHIEVE LANGUAGE ACADEMY",1,48.2,0.671093064493331,1,81,"MN",270011802608,2017,"Students absent 15 or more school dates during school year","M","-","5.00","-","13.00","6.00","1","-",25,"4.00","-","17.00"
"achievelanguageacademy","MN","achievelanguageacademy",455,0.7,33,1,13,40,10.3,3.1,50.1,10.5,0,55119,0,2608,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"ACHIEVE LANGUAGE ACADEMY",1,48.2,0.671093064493331,1,81,"MN",270011802608,2017,"Students absent 15 or more school dates during school year","F","2.00","3.00","-","9.00","7.00","4","3.00",28,"6.00","-","6.00"
"acornmontessoricharterschool","AZ","acornmontessoricharterschool",328,1.8,0,0.6,0.3,38.4,57,1.8,3,11.9,2.7,86314,1,2227,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,"Acorn Montessori Charter School",1,68.9,-2.79578742411037,1,110,"AZ",40032002227,2017,"Students absent 15 or more school dates during school year","F","1","-","-","9","-","22","-",32,"3","-","1"
"acornmontessoricharterschool","AZ","acornmontessoricharterschool",328,1.8,0,0.6,0.3,38.4,57,1.8,3,11.9,2.7,86314,1,2227,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,"Acorn Montessori Charter School",1,68.9,-2.79578742411037,1,110,"AZ",40032002227,2017,"Students absent 15 or more school dates during school year","M","-","-","-","11","1","18","3",33,"7","-","-"
"acornmontessoricharterschoolinc.-west","AZ","acornmontessoricharterschool",117,1.7,0,2.6,0,7.7,86,2.6,0,2.6,6,86314,1,2576,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Acorn Montessori Charter School  Inc. - West",1,64.2,0.552341166969713,1,116,"AZ",40032002576,2017,"Students absent 15 or more school dates during school year","F","-","-","-","9","-","10","-",19,"1","-","1"
"acornmontessoricharterschoolinc.-west","AZ","acornmontessoricharterschool",117,1.7,0,2.6,0,7.7,86,2.6,0,2.6,6,86314,1,2576,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Acorn Montessori Charter School  Inc. - West",1,64.2,0.552341166969713,1,116,"AZ",40032002576,2017,"Students absent 15 or more school dates during school year","M","-","-","-","6","-","12","1",19,"3","-","2"
"alfredg.zanettimontessorimagnetschool","MA","springfield",434,0,0,0,24.9,50.9,20.7,3.5,2.5,4.6,8.3,1104,1,1809,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,"Alfred G. Zanetti Montessori Magnet School",1,38.5,1.85004704303611,1,4,"MA",2.51113e+11,2017,"Students absent 15 or more school dates during school year","M","-","-","-","9","1","1","1",12,"2","1","3"
"alfredg.zanettimontessorimagnetschool","MA","springfield",434,0,0,0,24.9,50.9,20.7,3.5,2.5,4.6,8.3,1104,1,1809,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,"Alfred G. Zanetti Montessori Magnet School",1,38.5,1.85004704303611,1,4,"MA",2.51113e+11,2017,"Students absent 15 or more school dates during school year","F","-","-","-","4","0","0","0",4,"0","1","0"
"aliefmontessoricommunityschool","TX","aliefmontessoricommunityschool",279,0,41.9,0,13.6,38.7,5,0.7,83.2,8,0,77072,1,7914,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,"ALIEF MONTESSORI COMMUNITY SCHOOL",1,29.5,0.602841116698368,1,8,"TX",4.80004e+11,2017,"Students absent 15 or more school dates during school year","M","-","2","-","-","-","-","-",2,"-","-","2"
"aliefmontessoricommunityschool","TX","aliefmontessoricommunityschool",279,0,41.9,0,13.6,38.7,5,0.7,83.2,8,0,77072,1,7914,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,"ALIEF MONTESSORI COMMUNITY SCHOOL",1,29.5,0.602841116698368,1,8,"TX",4.80004e+11,2017,"Students absent 15 or more school dates during school year","F","-","-","-","2","1","-","-",3,"1","-","1"
"alphainternationalacademy","FL","broward",83,0,0,0,60.2,27.7,12,0,31.3,9.6,0,33020,0,8155,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,"ALPHA INTERNATIONAL ACADEMY",1,86.8,-1.31261700611548,1,79,"FL",120018008155,2017,"Students absent 15 or more school dates during school year","M","-","-","-","1.00","2.00","1","-",4,"1.00","-","1.00"
"alphainternationalacademy","FL","broward",83,0,0,0,60.2,27.7,12,0,31.3,9.6,0,33020,0,8155,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,"ALPHA INTERNATIONAL ACADEMY",1,86.8,-1.31261700611548,1,79,"FL",120018008155,2017,"Students absent 15 or more school dates during school year","F","-","-","-","-","-","1","-",1,"-","-","-"
"americanindianmagnetschool","MN","st.paulpublicschooldistrict",644,14.9,30,0,16.8,19.4,5.4,13.5,29.7,17.9,2.5,55106,0,2303,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,"AMERICAN INDIAN MAGNET SCHOOL",1,84.6,-0.918187001612492,1,2,"MN",273384002303,2017,"Students absent 15 or more school dates during school year","F","22.00","3.00","-","15.00","12.00","4","19.00",75,"12.00","-","4.00"
"americanindianmagnetschool","MN","st.paulpublicschooldistrict",644,14.9,30,0,16.8,19.4,5.4,13.5,29.7,17.9,2.5,55106,0,2303,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,"AMERICAN INDIAN MAGNET SCHOOL",1,84.6,-0.918187001612492,1,2,"MN",273384002303,2017,"Students absent 15 or more school dates during school year","M","21.00","2.00","-","16.00","14.00","4","20.00",77,"36.00","1.00","5.00"
"americanmontessoriacademyelementary","MI","americanmontessoriacademy",220,0.9,2.7,0,56.4,0,40,0,3.6,5.9,0,48154,1,1763,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,"American Montessori Academy Elementary",1,62.3,1.12275865473602,1,23,"MI",2.60031e+11,2017,"Students absent 15 or more school dates during school year","M","-","1","-","-","17","4","2",24,"4","-","-"
"americanmontessoriacademyelementary","MI","americanmontessoriacademy",220,0.9,2.7,0,56.4,0,40,0,3.6,5.9,0,48154,1,1763,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,"American Montessori Academy Elementary",1,62.3,1.12275865473602,1,23,"MI",2.60031e+11,2017,"Students absent 15 or more school dates during school year","F","1","-","-","-","14","12","3",30,"2","-","4"
"atlanticmontessoricharterschool","FL","broward",122,0,2.5,0,39.3,48.4,9,0.8,21.3,4.1,2,33024,1,8151,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,"ATLANTIC MONTESSORI CHARTER SCHOOL",1,35,-0.234622262117159,1,31,"FL",1.20018e+11,2017,"Students absent 15 or more school dates during school year","F","-","1","-","8","2","1","-",12,"-","-","4"
