"schoolname","State","District","No.students","percAmericanIndian","percAsian","percHawaiian","percBlack","percHispanic","percWhite","More","Lep","percIdea","perc504","Zip","Montessori","SCHID","ps","kinder","first","second","third","fourth","fifth","sixth","seventh","eighth","nineth","tenth","eleventh","twelfth","magnet","charter","SCHOOL_NAME","title","FRLperc","distance","weights","subclass","Corporal punishment_White","Corporal punishment_Black","Corporal punishment_Hispanic","Corporal punishment_tot_dis","in-school suspensions_White","in-school suspensions_Black","in-school suspensions_Hispanic","in-school suspensions_tot_dis","only one out-of-school_White","only one out-of-school_Black","only one out-of-school_Hispanic","only one out-of-school_tot_dis","more than one out-of-school_White","more than one out-of-school_Black","more than one out-of-school_Hispanic","more than one out-of-school_tot_dis","Expulsions_White","Expulsions_Black","Expulsions_Hispanic","Expulsions_tot_dis","Transferred_White","Transferred_Black","Transferred_Hispanic","Transferred_tot_dis","Referral_White","Referral_Black","Referral_Hispanic","Referral_tot_dis","arrest_White","arrest_Black","arrest_Hispanic","arrest_tot_dis"
"academy360","CO","schooldistrictno.1inthecountyofdenverandstateofc",226,0.4,0.4,0,31,53.5,10.6,4,28.8,7.1,0.4,80239,0,6592,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,"ACADEMY 360",1,67,0.200590601521163,1,30,0,0,0,0,0,6,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"achievelanguageacademy","MN","achievelanguageacademy",455,0.7,33,1,13,40,10.3,3.1,50.1,10.5,0,55119,0,2608,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"ACHIEVE LANGUAGE ACADEMY",1,48.2,0.697709492627023,1,119,0,0,0,0,0,4,0,3,0,11,9,4,0,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"acornmontessoricharterschool","AZ","acornmontessoricharterschool",328,1.8,0,0.6,0.3,38.4,57,1.8,3,11.9,2.7,86314,1,2227,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,"Acorn Montessori Charter School",1,68.9,-2.12516985119428,1,118,0,0,0,0,3,0,1,NA,2,0,3,NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"acornmontessoricharterschoolinc.-west","AZ","acornmontessoricharterschool",117,1.7,0,2.6,0,7.7,86,2.6,0,2.6,6,86314,1,2576,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Acorn Montessori Charter School  Inc. - West",1,64.2,0.55202374060554,1,125,0,0,0,0,3,0,0,NA,1,0,0,NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"alfredg.zanettimontessorimagnetschool","MA","springfield",434,0,0,0,24.9,50.9,20.7,3.5,2.5,4.6,8.3,1104,1,1809,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,"Alfred G. Zanetti Montessori Magnet School",1,38.5,1.97592795467955,1,5,0,0,0,0,0,0,5,NA,0,0,4,NA,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"aliefmontessoricommunityschool","TX","aliefmontessoricommunityschool",279,0,41.9,0,13.6,38.7,5,0.7,83.2,8,0,77072,1,7914,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,"ALIEF MONTESSORI COMMUNITY SCHOOL",1,29.5,0.518017544269748,1,8,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"allenelementaryschool","MI","southgatecommunityschooldistrict",338,0.3,3,0,7.1,11.2,76.6,1.8,4.7,14.2,0,48195,0,295,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Allen Elementary School",1,47.6,-1.35000104125767,1,120,0,0,0,0,2,1,0,1,9,1,1,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"alphainternationalacademy","FL","broward",83,0,0,0,60.2,27.7,12,0,31.3,9.6,0,33020,0,8155,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,"ALPHA INTERNATIONAL ACADEMY",1,86.8,-1.10940617522162,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"americanindianmagnetschool","MN","st.paulpublicschooldistrict",644,14.9,30,0,16.8,19.4,5.4,13.5,29.7,17.9,2.5,55106,0,2303,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,"AMERICAN INDIAN MAGNET SCHOOL",1,84.6,-0.742560964833567,1,11,0,0,0,0,0,1,0,0,4,8,8,6,1,27,9,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"americanmontessoriacademyelementary","MI","americanmontessoriacademy",220,0.9,2.7,0,56.4,0,40,0,3.6,5.9,0,48154,1,1763,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,"American Montessori Academy Elementary",1,62.3,0.808874926948889,1,24,0,0,0,0,0,0,0,NA,4,4,0,NA,2,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"atlanticmontessoricharterschool","FL","broward",122,0,2.5,0,39.3,48.4,9,0.8,21.3,4.1,2,33024,1,8151,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,"ATLANTIC MONTESSORI CHARTER SCHOOL",1,35,-0.558230250315916,1,33,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"atlanticmontessoricharterschoolwestcampus","FL","broward",148,0.7,0,0.7,14.9,64.2,14.9,4.7,20.3,10.8,2.7,33325,1,8462,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,"ATLANTIC MONTESSORI CHARTER SCHOOL WEST CAMPUS",1,27.7,-0.542223930325777,1,36,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"atwaterelementary","WI","shorewoodschooldistrict",545,0,13,0,8.3,8.6,66.2,3.9,13.8,9.5,0.6,53211,0,1809,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"Atwater Elementary",1,15.4,-1.23959377850128,1,83,0,0,0,0,1,1,0,0,2,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"austindiscoverysch","TX","austindiscoveryschool",524,0.4,1,0,1.5,25.2,66.4,5.5,1.9,8.8,14.1,78724,0,11056,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"AUSTIN DISCOVERY SCH",1,24.8,2.06800326404635,1,115,0,0,0,0,21,0,7,1,1,0,3,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"austinmontessorimagnet","TX","ectorcountyisd",449,0.4,0.9,0,2,76.4,18.9,1.3,12.9,7.1,0.7,79761,1,1567,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"AUSTIN MONTESSORI MAGNET",1,38.3,-0.789475851237297,1,45,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"avantgardeacademyofbroward","FL","broward",127,0,2,0,15,51.2,28,4,14.2,7.9,7,33020,0,8361,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,"AVANT GARDE ACADEMY OF BROWARD",1,50.8,-2.14287983428108,1,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"barronareamontessorischool","WI","barronareaschooldistrict",71,1,3,0,7,4.2,83.1,1.4,7,8.5,0,54812,1,2717,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,"Barron Area Montessori School",1,56,1.34410586400761,1,54,0,0,0,0,1,0,0,NA,1,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"battlecreekmontessoriacademy","MI","battlecreekmontessoriacademy",182,0.5,1.6,0,12.6,7.1,63.2,14.8,4,0,0,49037,1,8473,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"Battle Creek Montessori Academy",1,82.1,2.19748537152431,1,61,0,0,0,0,0,0,0,NA,1,2,0,NA,2,3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
