"","schoolname","State","District","No.students","percAmericanIndian","percAsian","percHawaiian","percBlack","percHispanic","percWhite","More","Lep","percIdea","perc504","Zip","Montessori","SCHID","ps","kinder","first","second","third","fourth","fifth","sixth","seventh","eighth","nineth","tenth","eleventh","twelfth","magnet","charter","SCHOOL_NAME","title","FRLperc","distance","weights","subclass","Corporal.punishment_White","Corporal.punishment_Black","Corporal.punishment_Hispanic","Corporal.punishment_tot_dis","in.school.suspensions_White","in.school.suspensions_Black","in.school.suspensions_Hispanic","in.school.suspensions_tot_dis","only.one.out.of.school_White","only.one.out.of.school_Black","only.one.out.of.school_Hispanic","only.one.out.of.school_tot_dis","more.than.one.out.of.school_White","more.than.one.out.of.school_Black","more.than.one.out.of.school_Hispanic","more.than.one.out.of.school_tot_dis","Expulsions_White","Expulsions_Black","Expulsions_Hispanic","Expulsions_tot_dis","Transferred_White","Transferred_Black","Transferred_Hispanic","Transferred_tot_dis","Referral_White","Referral_Black","Referral_Hispanic","Referral_tot_dis","arrest_White","arrest_Black","arrest_Hispanic","arrest_tot_dis","Black_num","Hispanic_num","White_num","tot_OSSsus","tot_OSSRate","tot_ISSsus","tot_ISSRate","white_OSS_rate","black_OSS_rate","hispanic_OSS_rate","white_ISS_rate","black_ISS_rate","hispanic_ISS_rate","zeroISS","issP","zeroOSS"
"1","academy360","CO","schooldistrictno.1inthecountyofdenverandstateofc",226,0.4,0.4,0,31,53.5,10.6,4,28.8,7.1,0.4,80239,0,6592,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,"ACADEMY 360",1,67,0.200590601521163,1,30,0,0,0,0,0,6,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,121,24,2,0.00930232558139535,7,0.0325581395348837,0,0.0142857142857143,0.00826446280991736,0,0.0857142857142857,0.00826446280991736,"nonZero",0.647695085082484,"nonZero"
"2","achievelanguageacademy","MN","achievelanguageacademy",455,0.7,33,1,13,40,10.3,3.1,50.1,10.5,0,55119,0,2608,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"ACHIEVE LANGUAGE ACADEMY",1,48.2,0.697709492627023,1,119,0,0,0,0,0,4,0,3,0,11,9,4,0,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,182,47,30,0.104166666666667,4,0.0138888888888889,0,0.23728813559322,0.0879120879120879,0,0.0677966101694915,0,"nonZero",0.478794849246445,"nonZero"
"3","acornmontessoricharterschool","AZ","acornmontessoricharterschool",328,1.8,0,0.6,0.3,38.4,57,1.8,3,11.9,2.7,86314,1,2227,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,"Acorn Montessori Charter School",1,68.9,-2.12516985119428,1,118,0,0,0,0,3,0,1,NA,2,0,3,NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,126,187,6,0.0191082802547771,4,0.0127388535031847,0.0160427807486631,0,0.0238095238095238,0.0160427807486631,0,0.00793650793650794,"nonZero",0.623171060871614,"nonZero"
"4","acornmontessoricharterschoolinc.-west","AZ","acornmontessoricharterschool",117,1.7,0,2.6,0,7.7,86,2.6,0,2.6,6,86314,1,2576,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Acorn Montessori Charter School  Inc. - West",1,64.2,0.55202374060554,1,125,0,0,0,0,3,0,0,NA,1,0,0,NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,9,101,2,0.0181818181818182,3,0.0272727272727273,0.0198019801980198,NA,0,0.0297029702970297,NA,0,"nonZero",0.739280789089693,"nonZero"
"5","alfredg.zanettimontessorimagnetschool","MA","springfield",434,0,0,0,24.9,50.9,20.7,3.5,2.5,4.6,8.3,1104,1,1809,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,"Alfred G. Zanetti Montessori Magnet School",1,38.5,1.97592795467955,1,5,0,0,0,0,0,0,5,NA,0,0,4,NA,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,108,221,90,5,0.0119331742243437,5,0.0119331742243437,0,0,0.0226244343891403,0,0,0.0226244343891403,"nonZero",0.607915223724422,"nonZero"
"6","aliefmontessoricommunityschool","TX","aliefmontessoricommunityschool",279,0,41.9,0,13.6,38.7,5,0.7,83.2,8,0,77072,1,7914,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,"ALIEF MONTESSORI COMMUNITY SCHOOL",1,29.5,0.518017544269748,1,8,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,38,108,14,0,0,0,0,0,0,0,0,0,0,"zero",0.683157792141458,"zero"
"7","allenelementaryschool","MI","southgatecommunityschooldistrict",338,0.3,3,0,7.1,11.2,76.6,1.8,4.7,14.2,0,48195,0,295,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Allen Elementary School",1,47.6,-1.35000104125767,1,120,0,0,0,0,2,1,0,1,9,1,1,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,38,259,15,0.0467289719626168,3,0.00934579439252336,0.0501930501930502,0.0416666666666667,0.0263157894736842,0.00772200772200772,0.0416666666666667,0,"nonZero",0.304413092283623,"nonZero"
"8","alphainternationalacademy","FL","broward",83,0,0,0,60.2,27.7,12,0,31.3,9.6,0,33020,0,8155,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,"ALPHA INTERNATIONAL ACADEMY",1,86.8,-1.10940617522162,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,23,10,0,0,0,0,0,0,0,0,0,0,"zero",0.632321410235906,"zero"
"9","americanindianmagnetschool","MN","st.paulpublicschooldistrict",644,14.9,30,0,16.8,19.4,5.4,13.5,29.7,17.9,2.5,55106,0,2303,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,"AMERICAN INDIAN MAGNET SCHOOL",1,84.6,-0.742560964833567,1,11,0,0,0,0,0,1,0,0,4,8,8,6,1,27,9,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,125,35,57,0.212686567164179,1,0.00373134328358209,0.142857142857143,0.324074074074074,0.136,0,0.00925925925925926,0,"nonZero",0.237100245431792,"nonZero"
"10","americanmontessoriacademyelementary","MI","americanmontessoriacademy",220,0.9,2.7,0,56.4,0,40,0,3.6,5.9,0,48154,1,1763,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,"American Montessori Academy Elementary",1,62.3,0.808874926948889,1,24,0,0,0,0,0,0,0,NA,4,4,0,NA,2,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,124,0,88,12,0.0566037735849057,0,0,0.0681818181818182,0.0483870967741935,NA,0,0,NA,"zero",0.680126416376841,"nonZero"
"11","atlanticmontessoricharterschool","FL","broward",122,0,2.5,0,39.3,48.4,9,0.8,21.3,4.1,2,33024,1,8151,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,"ATLANTIC MONTESSORI CHARTER SCHOOL",1,35,-0.558230250315916,1,33,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,48,59,11,0,0,0,0,0,0,0,0,0,0,"zero",0.784702063430761,"zero"
"12","atlanticmontessoricharterschoolwestcampus","FL","broward",148,0.7,0,0.7,14.9,64.2,14.9,4.7,20.3,10.8,2.7,33325,1,8462,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,"ATLANTIC MONTESSORI CHARTER SCHOOL WEST CAMPUS",1,27.7,-0.542223930325777,1,36,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,22,95,22,0,0,0,0,0,0,0,0,0,0,"zero",0.710801421760316,"zero"
"13","atwaterelementary","WI","shorewoodschooldistrict",545,0,13,0,8.3,8.6,66.2,3.9,13.8,9.5,0.6,53211,0,1809,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"Atwater Elementary",1,15.4,-1.23959377850128,1,83,0,0,0,0,1,1,0,0,2,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,47,361,4,0.00883002207505519,2,0.00441501103752759,0.00554016620498615,0.0222222222222222,0.0212765957446809,0.00277008310249307,0.0222222222222222,0,"nonZero",0.279518706806797,"nonZero"
